programName,difficulty,techTag,Introduce,OutputRequirements
基于高性能RISC-V处理器核“香山”的微架构UT验证——FTQ 与后端及取指令单元交互,进阶,"[[""os"",""RISC-V""],[""os"",""Linux""],[""dev"",""pytest""]]",芯片设计工作中的一大挑战是芯片验证。“万众一芯”项目是为探索开源硬件众包验证可能性、降低芯片验证成本、吸引软件工程师参与到硬件工作而发起的，面向全球的芯片设计开源众包验证项目。本项目基于开源高性能RISC-V处理器核“香山”的最新架构昆明湖，通过参与，您将深入了解到高性能处理器设计，有机会进入贡献排行榜、获得实习Offer、RISC-V中国峰会差旅补贴，为开源芯片的发展贡献力量。FTQ是取指目标队列，在处理器前端设计中承担着重要作用，负责前端分支预测单元BPU和取指令单元IFU之间的交互，以及前端与后端之间交互。本项目是FTQ完整验证任务的下半部分，涉及了FTQ与取指令单元IFU之间的交互，以及FTQ与后端交互的内容。,1. 验证环境+API：验证环境和API是代码成果，是针对待验证对象（DUT）的数据职责（引脚）和行为职责（逻辑）的封装，需要提供特定的可复用的接口、 测试套件、测试覆盖率等的定义。2. 测试用例：测试用例是代码成果，定义了用于测试的输入组合，以及预期的输出组合。3. 验证报告：验证报告是文字成果，包括对环境、测试点和测试用例的介绍，复现代码所需的环境和指令，以及对测试覆盖率等衡量指标的报告。
面向RISC-V向量扩展的性能评估基准测试的开发,进阶,"[[""os"",""RISC-V""],[""os"",""ARM""],[""os"",""x86""]]","向量硬件是一种通过单指令多数据（SIMD）架构实现高效并行计算的处理器组件，当前主流处理器架构均有功能类似但各不相同的向量扩展指令集。向量指令作为这类硬件的编程接口，允许软件使用向量硬件的加速能力优化性能，已经成为现代高性能计算的关键技术。在高级语言层面，使用向量指令优化软件性能的方法主要有三类：直接使用高级语言编写算法，依赖编译器自动向量化生成向量指令；使用向量硬件的通用向量语言编写优化算法；使用特定硬件的专用向量语言编写优化算法。：开发者高级语言编写算法，依赖编译器的自动向量化功能将标量代码转换为向量指令，这种方法的适用场景最广，开发者通常只需关注算法逻辑而无需了解底层硬件细节。：通过跨平台向量编程库（如Google Highway、C++标准库std::simd），开发者使用抽象化的向量类型和操作直接编写向量化的算法逻辑，并由跨平台向量编程库在编译时适配不同硬件指令集，生成对应的向量指令。这种方法避免直接绑定特定硬件指令集，同时提供比编译器自动向量化更强的优化能力。：通过向量内建函数（如x86的AVX Intrinsics、ARM的NEON Intrinsics、RISC-V Vector Intrinsics），直接使用目标硬件的向量内建函数编写向量化算法逻辑，这种方法通常具有最佳的性能表现。RISC-V是一个具有模块化特点的新兴指令集架构，向量扩展（RISC-V Vector）为其添加了单指令多数据并行能力，具备可变长向量特性。本项目希望构建一个性能评估基准测试用于评估当前主流C++编译器面向RISC-V向量扩展的自动向量化能力、评估跨平台向量编程库在RISC-V向量扩展上的性能、对比人工优化的RISC-V Vector Intrinsic与其他平台Intrinsic的性能优化效果。性能评估基准测试应当包含一组由不同领域算法组成的测试用例，每个测试用例均有对应的C++标量实现、Google Highway向量化实现、x86 SSE/AVX Intrinsic、ARM NEON Intrinsic 和 RISC-V Vector Intrinsic实现版本；且由测试框架驱动，能够面向多种架构交叉编译，在不同设备上评估性能。测试用例的选择和实现可从现有开源软件中摘取，如OpenCV, OpenBLAS等；同时也可选择不同领域的经典算法自行实现不同版本。",1. 一个基准测试集
基于RISC-V架构的全同态加密NTT运算加速设计与优化,进阶,"[[""safe"",""AES""],[""safe"",""RSA""],[""safe"",""SSL/TLS""]]",全同态加密（FHE）是一种允许在加密数据上直接进行计算的技术，近年来在隐私保护计算领域获得了广泛关注。然而，FHE 方案的计算复杂度较高，尤其是其核心算子——快速数论变换（NTT），在通用处理器上的执行效率较低，难以满足实际应用的需求。RISC-V 作为一种开源指令集架构，凭借其高度的可定制性和灵活性，成为加速特定计算任务的理想选择。其模块化设计和开放的生态系统使得开发者能够针对如 FHE 这样的计算密集型应用进行深度优化。因此，基于 RISC-V 架构对 FHE 中的 NTT 算法进行加速，已成为同态加密领域的重要研究方向之一。在现有研究中，针对FHE-NTT算法的加速已取得一定进展，但仍存在显著不足。软件层面，开源FHE库（如Microsoft SEAL、HElib）通过算法优化提升了NTT性能，但其计算效率受限于通用处理器的架构特性，难以突破性能瓶颈。硬件层面，已有研究尝试基于ASIC或FPGA实现NTT加速，但这些方案往往缺乏与RISC-V生态的深度融合，难以满足开源硬件生态的灵活性与可扩展性需求。此外，尽管部分研究已在RISC-V中集成支持后量子密码的NTT指令扩展，但这些扩展未针对FHE-NTT的特定计算模式（如大规模多项式运算、高精度模乘）进行定制化优化，导致其在FHE场景下的加速效果有限。本项目改进要点在于设计面向FHE-NTT特性的RISC-V专用指令扩展，优化大规模多项式运算与高精度模乘的核心计算模式；设计高效的硬件架构，加速NTT中的“蝶形运算”；构建软硬协同优化框架，实现从算法到硬件的无缝集成，从而显著提升FHE-NTT的计算效率与能效比，同时保持与RISC-V开源生态的兼容性。最终项目实现的目标是开发一款高性能、低功耗的RISC-V硬件加速器，专为FHE-NTT运算优化，实现相较于纯软件方案至少300倍的性能提升和30倍的能效比提升；支持主流FHE算法（如CKKS）的完整NTT/INTT运算流程，满足从边缘计算到云端的多样化应用需求；提供开源RISC-V IP核设计，兼容Linux驱动层与主流RISC-V开发工具链，推动FHE技术在开源硬件生态中的广泛应用与标准化发展。,1.为FHE-NTT设计RISC-V专用指令扩展，相较于纯软件方案有至少300倍的性能提升和30倍的能效比提升2. 构建软硬件协同框架集成算法与硬件加速，实现兼容主流FHE算法（如CKKS）的NTT/INTT运算3. 编写硬件加速器性能测试与能效评估报告，输出RISC-V指令扩展与优化方案技术文档
使用 Nacos 实现 FIT 集群的注册中心,基础,"[[""web"",""Spring Boot""],[""codelang"",""Programming Language""]]",FIT 集群跨进程服务间调用采用的是传统通用的服务注册与发现的机制，在开源前已经存在一版内部C++的注册中心实现，同时，为了方便调试，又提供了一版Java内存版的简单实现。不管是哪一种实现，都是使用的 FIT 标准的插件来实现的，且注册中心的若干个插件提供的能力属于整个 FIT 系统最关键最基础的能力，已经拥有标准的接口定义（SPI），也就是说，不管是哪一种插件的实现，对于核心框架来说，代码都是不感知的。当前开源之后，需要接入业界最流行的 Nacos 注册中心体系，相当于基于 Nacos，实现一个新的注册中心插件，要求实现所有注册中心的 SPI，让 Nacos 的注册中心插件可以成为 FIT 集群跨进程通信的稳定生产插件。,"1. 一个由 Java 语言实现的 FIT 插件
2. 使用该插件，FIT 集群（当前需要在 FIT for Java、python 两种语言的 FIT 运行时上）可以正常通信"
Volcano准入控制从Webhook到声明式策略的演进与迁移,基础/Basic,"[[""cloudnative"",""Kubernetes""],[""cloudnative"",""Docker""]]",当前，Volcano 依赖大量的 Webhook 组件对 Kubernetes 集群中的 Pod、VCJob、Queue 等核心资源进行准入控制，包括验证资源的有效性（Validating）和根据策略进行默认值设置或修改（Mutating）。虽然 Webhook 机制能够实现灵活的准入控制逻辑，但在 Kubernetes 高版本集群中，引入了更高效且与 CRD 深度集成的声明式准入控制方案，例如 Kubebuilder 对 CEL (Common Expression Language) 的支持，以及 Kubernetes 原生的 ValidatingAdmissionPolicy 和 MutatingAdmissionPolicy API。本项目旨在对 Volcano 现有的准入控制机制进行现代化改造，核心目标是将当前由 Webhook 实现的部分或全部准入控制逻辑迁移到这些声明式的策略定义中。通过利用 CEL 在 CRD 层面定义校验规则，以及使用 ValidatingAdmissionPolicy 和 MutatingAdmissionPolicy API 实现更灵活的资源准入控制，可以减少外部 Webhook 调用的开销，潜在地提升 Volcano 的性能，并简化准入控制策略的管理和维护。此外，为了保证与不同 Kubernetes 集群版本的兼容性，本项目还需要考虑在 Helm 安装时提供灵活的部署选项。对于不支持 CEL 和 Admission Policy API 的旧版本集群，应继续使用现有的 Webhook 机制。而对于支持这些新特性的高版本集群，则默认或可选地启用新的声明式准入控制模式。通过本次项目的实施，Volcano 将能够更好地融入现代 Kubernetes 生态，提升在高版本集群中的运行效率和可维护性，并为未来的准入控制策略扩展奠定基础。,1. CEL 校验规则实现: 将现有 Webhook 中可迁移的验证逻辑转化为 CRD 上的 CEL 表达式。2. Admission Policy 实现: 将现有 Webhook 中适合的验证和修改逻辑分别通过 ValidatingAdmissionPolicy 和 MutatingAdmissionPolicy API 实现。3. Helm Chart 集成与版本兼容: 修改 Volcano 的 Helm Chart，使其在安装时能够动态检测 Kubernetes 集群的版本，并自动启用与当前集群版本相对应的准入控制策略：对于支持 CEL 和 Admission Policy API 的高版本集群，启用新的声明式策略；对于不支持这些 API 的低版本集群，则启用现有的 Webhook 策略。4. 文档与测试: 提供清晰的项目设计文档（包括迁移策略和测试计划等），更新 Volcano 的用户文档以说明在高版本 Kubernetes 集群中准入控制策略的变化和配置方式，并提供充分的单元测试、集成测试和端到端测试，验证新的声明式准入控制策略的正确性、兼容性以及与现有 Webhook 机制的协同工作。5. 社区集成与发布: 将开发成果集成到 Volcano 社区主干分支，并按照社区流程进行版本发布。
MindSpore 框架下纯视觉 3D 检测模型（LSS 类）迁移与优化,进阶,"[[""datas"",""AI""]]",Lift-Splat-Shoot 类纯视觉 3D 目标检测通过单目图像预测物体三维坐标，在自动驾驶、机器人等领域至关重要。当前主流模型多基于 PyTorch，需迁移至 MindSpore 框架以提升生态兼容性。,1. 完成模型结构复现、算子适配（如自定义 3D 坐标变换算子）2. 针对 NPU 硬件特性优化模型推理速度3. 开发一个相应的应用案例
利用 GraphAr Spark API 实现 LDBC SNB Datagen 对 GraphAr 格式的直接输出,基础/Basic,"[[""datas"",""Database""],[""datas"",""Graph Database""],[""datas"",""Spark""]]",本项目旨在增强 Apache GraphAr (incubating) 在 Spark 环境下的数据加载能力，使其能够直接从 LDBC SNB Datagen Spark 接口导出 GraphAr 格式的数据。Apache GraphAr 致力于提供一种标准的图数据存储文件格式框架，底层支持 CSV、Apache Parquet、Apache ORC 等多种格式，便于图数据在不同系统间高效流通和互操作。GraphAr 提供了相应的 Spark API 来支持读写其格式数据。LDBC SNB Datagen 是一个基于 Spark 的工具，专门用于生成 LDBC 社交网络基准测试所需的大规模、具备真实社交网络特性的有向带标签图数据集。虽然该工具的标准输出通常是结构化的 CSV 文件集合，描述了顶点、边及其属性，但本项目的目标是直接利用其在 Spark 内部生成的数据结构（如 RDDs 或 DataFrames），而非读取这些已生成的输出文件。- 代码仓库：- 说明文档：目前，虽然 LDBC Datagen 生成的数据常用于图系统测试，但在 Spark 环境下要将这些数据的标准输出文件导入图数据库或图计算系统进行处理，通常需要用户编写额外的定制代码或转换脚本来读取 CSV 文件。GraphAr 则为其中的数据传输提供了便捷，而本课题则进一步优化，旨在避免中间的CSV文件读写环节。本课题的核心目标是在 Apache GraphAr 项目中，利用其现有的或扩展的 Spark API，开发一个或一套功能模块，使其能够直接接收并处理 LDBC SNB Datagen 在 Spark 内存中生成的数据结构，并将其无缝转换为 GraphAr 格式的内存结构或文件存储，即实现从 LDBC Datagen 内部数据到 GraphAr 格式的直接管道。通过这项工作，用户将能够直接利用 GraphAr 提供的 Spark 写入/转换接口，处理 LDBC Datagen 在 Spark 环境中生成的数据，而无需将数据先写入标准输出文件再读取。这样可以在 Spark 环境中以 GraphAr 格式进行后续的图分析和处理。这将极大地简化 LDBC 数据集与 GraphAr 生态的对接流程，降低用户使用门槛，并进一步推广 GraphAr 作为标准图数据加载和处理格式的应用。,1. 核心加载功能实现： 在 GraphAr 项目中，基于 GraphAr Spark API 实现从 LDBC SNB Datagen 直接导出 GraphAr 格式数据的功能代码。2. 测试用例： 编写充分的单元测试和集成测试，验证加载功能的正确性和性能（至少覆盖主要实体类型和关系类型）。3. 使用文档： 提供清晰、详细的英文文档，说明如何使用新的 Spark 加载接口。4. 示例代码： 提供至少一个可运行的示例，演示如何加载 LDBC SNB Datagen 生成的数据。
P2P 支持基于 TCP 协议的文件传输,进阶,"[[""cloudnative"",""Cloud Native""],[""cloudnative"",""Kubernetes""],[""safe"",""TCP/IP""],[""cloudnative"",""Docker""],[""cloudnative"",""Distributed Storage""]]",Dragonfly 是开源的一款高效 P2P 文件分发系统，现为 CNCF 孵化级项目，旨在解决大规模数据传输中的效率瓶颈。其核心设计理念是通过 P2P 技术将每个节点（Peer）同时作为数据的消费者和提供者，最大化利用闲置带宽，从而显著提升下载速度并大幅降低对源站的依赖和压力。支持 TCP 协议的 P2P 数据传输机制是尤其重要的，确保了数据传输的可靠性与高效性，使其能够在多种网络环境下高效运行。本项目需要支持采用 TCP 协议作为底层数据传输基础，利用其可靠性（通过连接管理和错误重传）和顺序性（确保数据按序到达）特性，保证节点间数据传输的完整性。这使得 Dragonfly 能够在多种网络环境下稳定运行，适应复杂的企业级需求。并且需要适配 Dragonfly 基于 Piece 级别的应用层协议 Vortex，确保完整 Piece 元信息以及数据。并且针对大文件/AI 模型/镜像在数据传输部分优化，保证能够最大化利用网络带宽。通过支持 TCP 协议的 P2P 传输机制，将闲置带宽转化为分发效率，显著提升下载速度，同时减少对源站的负载。其应用场景包括容器镜像分发、大规模文件传输及 AI 数据处理等。,"1. 完整的方案设计。
2. 支持采用 TCP 协议作为底层数据传输基础。
3. 适配 Dragonfly 基于 Piece 级别的应用层协议 Vortex。
4. 确保数据完整、可靠、高效传输。
5. 需要完成 Unit testing、Benchmark、E2E testing。
6. 根据 Benchmark 优化数据传输性能。"
基于数据依赖的任务编排与 Volcano Global 调度,进阶/Advanced,"[[""cloudnative"",""Kubernetes""],[""cloudnative"",""Spark""],[""cloudnative"",""HDFS""],[""os"",""Linux""]]",Volcano Global 作为 Volcano 社区新发布的多集群调度平台，旨在为 AI、大数据、HPC 等高性能计算任务提供跨集群的统一调度能力，目前已支持队列和作业优先级、以及多租户公平调度。然而，在大数据场景下，任务之间往往存在复杂的数据依赖关系，例如任务 C 依赖任务 A 生成的数据。当前 Volcano Global 尚不支持此类依赖约束，导致在跨集群调度时，任务的实际可调度性受限于数据在目标集群上的可用性。运维人员需要人工分析和配置任务与数据源的对应关系，这不仅效率低下，还容易导致集群负载不均衡。尤其是在跨数据中心场景下，由于无法直接跨集群读写数据，需要通过平台的数据同步管道来保证数据安全，使得数据依赖的满足更加复杂。本项目旨在为 Volcano Global 设计并实现一个可插拔的第三方依赖检测机制，以支持大数据任务的数据依赖约束调度。该机制允许用户在任务定义中声明其所需的数据表（或其他数据源）以及目标集群，通过外挂的依赖检测插件，Volcano Global 可以在调度时查询集群的数据可用性，从而将任务调度到满足其数据依赖的集群上。,1. 数据依赖声明机制： 研究并实现一种在 Volcano Global 任务定义中声明数据依赖的方式（例如 Annotation 或 CRD 字段），能够清晰地指定任务所需的数据表或其他数据源。2. 数据依赖 Filter 插件实现： 基于 Volcano 调度器的 Filter 接口，实现数据依赖 Filter 插件，明确其输入参数（任务声明的依赖、目标集群信息等）和输出结果（是否满足依赖），并能够根据配置的数据位置检测服务查询集群的数据可用性。3. 与第三方数据位置检测服务集成方案： 定义 Filter 插件与用户自定义的数据位置检测服务之间的交互方式和数据格式，确保插件能够有效地查询集群的数据可用性。4. Volcano Global 调度流程集成： 实现数据依赖 Filter 插件在 Volcano Global 调度过滤阶段的注册和调用逻辑。5. 插件配置与管理方案： 提供灵活的插件配置和管理方法，允许用户选择和配置数据依赖 Filter 插件，并指定其所需的数据位置检测服务。6. 完善的测试与验证报告： 提供单元测试和集成测试报告，验证数据依赖 Filter 插件的功能和在 Volcano Global 调度流程中的集成效果。7. 详细的用户和开发者文档： 编写用户手册和开发指南，介绍如何声明任务的数据依赖以及如何配置和使用数据依赖 Filter 插件。
Cloudberry Clean Room 原型系统设计与实现,进阶,"[[""safe"",""OAuth""],[""datas"",""PostgreSQL""],[""datas"",""Structured Database""]]",本项目旨在基于 Apache Cloudberry 的安全机制，设计并实现一个数据 Clean Room 原型系统，借鉴 Snowflake 和 AWS Clean Room 的理念，探索在多方数据协作中保护用户隐私、确保数据合规使用的技术实现路径。该原型系统将支持以下核心能力：该项目最终将输出一套以 Cloudberry 为底座的原型实现、用例和基础文档，为未来在 Cloudberry 中正式支持数据 Clean Room 提供基础探索。,1. Cloudberry Clean Room 原型代码（支持 provider / consumer 模型）2. 一套权限控制配置模板（行级 / 列级）3. 简单的差分隐私机制实现（基于聚合函数注入噪声）4. 一份技术设计文档（支持 Markdown 格式，说明设计原理与接口）5. 一份部署及使用说明手册（含本地运行环境）
基于 Box64 实现 x86_64 用户态程序在 AArch64 和 RISC-V 系统上的运行支持,进阶/Advanced,"[[""os"",""Linux""],[""codelang"",""Programming Language""],[""os"",""x86""],[""os"",""RISC-V""]]",（1）相关背景在国产 CPU 与 openEuler 操作系统推广过程中，工业仿真、医疗生物等行业中仍存在大量基于 x86_64 架构的软件，这些软件缺乏源码且无人维护，兼容性成为亟需解决的问题。Box64 是一款轻量级用户态动态二进制翻译器，可在 AArch64 和 RISC-V 平台上运行 x86_64 Linux 程序，具备对 Wine 等复杂软件的兼容潜力。（2）已有的工作Box64 项目已经开源，并成功支持多个 AArch64 Linux 系统，能运行多种图形和命令行程序。（3）存在的不足openEuler 系统对 Box64 支持不完善，缺乏官方封装和适配文档，且在动态链接库加载、系统调用兼容性方面存在问题，导致部分程序运行失败或不稳定。（4）希望改进的点改进 Box64 在 openEuler 上的运行环境和配置集成提供构建脚本和依赖环境准备方案修复已知的兼容性问题（如常用库加载、线程模型等）编写面向社区的使用手册与调试指南（5）最终项目实现的目标实现 Box64 在 openEuler AArch64 和 RISC-V 平台上的稳定运行，能够兼容常见 x86_64 用户态程序，并形成标准化的适配文档与测试样例。,1. 完善 Box64 在 openEuler 上的运行支持2. 提供完整构建脚本和工具链配置3. 提交修复补丁解决兼容性问题4. 补充测试案例与验证说明文档5. 撰写社区使用说明与调试文档
基于MindSpore的YOLOv12实现智能交通分析,进阶,"[[""datas"",""AI""]]",交通管理和道路安全对于现代智慧城市至关重要。检测交通违规行为、确保道路安全和改善城市交通需要创新的解决方案。这就是“智能交通监控：使用 YOLOv12N 进行实时闭路电视分析”项目的用武之地。本项目需要基于MindSpore+Ascend迁移YOLO12模型开发应用。,1.基于MindSpore框架和套件，迁移Yolo12模型，精度性能达到论文水平。2. 基于Yolo12模型，完成一个交通安全的案例应用:检测紧急车道违规并识别阻碍紧急车辆的车辆;分析基于车道的交通流速和拥堵情况，以确定交通状况;对车辆进行计数并对类型进行分类，以提供有关不同车辆类型的数据。3.  完成以下功能模块的开发:
SimpleRenderer ⾼性能渲染优化与结构优化,进阶,"[[""os"",""x86""],[""os"",""GCC""],[""os"",""Perf""]]",,"1. 光栅化算法优化
a. 实现基于块/图块的光栅化算法（Tile-based Rasterization），代替现有的像素级处理⽅式
b. 增加视锥体裁剪和背⾯剔除测试，提前过滤不可⻅三⻆形
2. 内存管理优化
a. 预分配⽚段缓冲区，避免渲染过程中的动态内存分配
b. 改进数据布局，提⾼缓存利⽤率
c. 实现共享内存机制，减少线程间的重复内存访问
3. 深度测试优化
a. 实现早期深度测试，在光栅化阶段直接剔除被遮挡的⽚段
b. 减少⽚段⽣成和着⾊器调⽤次数
c. 优化深度缓冲区访问模式
4. 多线程架构改进
a. 减少线程间的数据合并次数和同步开销"
国产数据库读写组件开发,进阶,"[[""datas"",""Database""],[""datas"",""Hadoop""],[""datas"",""HDFS""]]",项目背景：openGauss 和 KingbaseES（金仓）作为两款主流的国产数据库管理系统，凭借其高性能、高可用性和安全性，在政府、金融、能源等多个关键行业得到了广泛应用。为了提升πFlow平台的数据源兼容性，并推动数据处理流程的国产化转型，有必要开发针对openGauss和 KingbaseES（金仓）数据库的读写组件，实现高效的双向数据交互。：一、数据库技术调研●研究openGauss和和 KingbaseES（金仓）数据库的技术特点及接口规范，包括其SQL语法、事务管理机制以及批量操作性能优化策略。二、四个核心组件开发●openGauss数据库读取组件：负责从openGauss数据库中读取数据，并将数据加载到Spark DataFrame中，为后续的大数据处理提供基础支持。●openGauss数据库存储组件：负责将上游组件处理后的DataFrame结果存储回openGauss数据库，支持多种存储模式（如插入、更新、批量写入等），以满足不同场景的需求。●KingbaseES数据库读取组件：负责从KingbaseES数据库中读取数据，并将其加载到Spark DataFrame中，为后续的大数据处理提供基础支持。●KingbaseES数据库存储组件：负责将上游组件处理后的DataFrame结果存储回KingbaseES数据库，支持多种存储模式（如插入、更新、批量写入等），以满足不同场景的需求。三、文档编写与发布●编写详细的文档，包括使用指南、开发文档和测试案例库，确保用户能够快速上手并正确使用该组件。：本项目要求采用Scala语言编写。Scala作为一种多范式编程语言，结合了面向对象和函数式编程的特点，具有简洁、优雅的语法，非常适合Spark生态圈的开发。它能够帮助我们快速构建高效、可扩展的组件，同时无缝集成到πFlow平台中。,"1. 四个核心组件开发：1）openGauss数据库读取组件；2）openGauss数据库存储组件；3）KingbaseES数据库读取组件；4）KingbaseES数据库存储组件。

2. 文档编写：编写详细的文档，包括使用指南、开发文档和测试案例库，确保用户能够快速上手并正确使用该组件。"
KubeEdge Dashboard UI优化与多语言（中文）支持,基础,"[[""web"",""React""],[""web"",""UI""],[""web"",""Material UI""]]",全面优化 KubeEdge Dashboard 的 UI 体验，统一界面风格、提升交互友好性，并引入中文语言包支持。针对页面结构、交互逻辑、表单体验等方面进行逐步改进，使其更加贴合用户使用习惯。同时提供国际化方案基础框架，未来可拓展至更多语言。,1. 引入国际化框架（如 react-i18next 或 MUI 内置的多语言支持机制），实现中英文切换2.  提炼所有文案为可配置项，统一管理语言资源文件（如 en.json / zh.json）3. 优化整体 UI 风格（如统一按钮样式、字体、色彩系统等），并提升交互体验（表单校验、空状态提示等）4. 优化移动端或小屏展示适配（可选），提升多终端可访问性5. 针对中国用户习惯（例如表格操作、分页、时间格式等）进行本地化适配
VSCode 插件增强-支持手表模拟器可视化布局,基础,"[[""os"",""RISC-V""],[""os"",""Linux""]]",面向智能设备开发者提供的一站式集成开发环境，其中 GUI Builder 则用于用户在进行穿戴应用开发时快速在 PC 上看到 UIKit 模拟效果，而当前 GUI Builder 的实现受限于 GrapesJS 开源软件，界面布局可扩展性不足，且开源义务包袱繁重，需要尽快有自研方案，提升界面美观度，灵活度。,1. 使用 VSCode 代码。2. 自研代码打造GUI Builder界面，界面可参照nxp的GUI Guider，支持C++代码生成和代码编译。
Sentinel AI 应用场景 Token 限流调研和实现,进阶,"[[""datas"",""AI""],[""web"",""Web Application""]]",Sentinel 作为面向分布式应用场景、多语言异构化服务架构的流量治理组件，以丰富的流量防护能力满足了各种应用场景的限流需求。当下 AI 应用成为广大开发者关注的领域，但是想要将 AI 应用真正用于生产，高可用的能力是必不可少的，由此也出现了很多 AI 应用场景下新的流量防护需求，例如 Token 限流，Token 这个 AI 场景下的常用单位，在作为限流的统计维度时存在着限流时机与统计时机不一致，强需求集群限流等特点。现有的限流能力难以很好地满足需求，因此需要在 Sentinel 中实现 Token 限流的能力，来限制 AI 应用的 Token 消耗，保障 AI 应用的整体稳定性。,1. Go 语言 AI 应用框架（eino、langchaingo等）流量防护能力以及需求调研报告2. 基于 sentinel-golang，构建 Token 限流的能力3. 编写 Token 限流的核心设计文档、用户使用文档4. 进阶：支持限流后的动态 fallback 能力
数据库敏感列智能识别工具,基础,"[[""datas"",""Natural Language Processing (NLP)""],[""datas"",""Database""],[""dev"",""AIOps""]]",随着数据隐私法规（如 GDPR、CCPA）的普及，企业需对数据库中的敏感信息（如身份证号、手机号、地址等）进行精准识别与管理。当前 ODC 产品已具备数据脱敏功能，能够基于用户配置的敏感列识别规则对数据库敏感列进行扫描进行数据脱敏，但依赖用户对敏感列进行人工标注，存在效率低、误判率高的问题，亟需自动化工具提升识别准确性与效率。此项目旨在通过结合对字段语义进行自动理解和推断，实现敏感列识别的智能化：最终目标是通过 AI 赋能，使工具能够生成自动识别敏感列信息，帮助数据库管理员高效的管理数据库，提升数据安全。,"1. 敏感列规则配置模块
  ○ 支持用户通过前端交互或配置文件的方式配置敏感列识别规则，例如：
    ■ 基于规则的敏感列识别
    ■ 基于模型推断的敏感列识别
  ○ 设计一个友好、易用的规则配置交互模块。2. AI 语义推断模块
  ○ 集成先进的预训练语言模型（如 BERT、GPT），实现字段名语义理解，自动判断字段是否含敏感信息，并评估风险等级。例如：
    ■ id：常规自增类型，无敏感信息，无风险。
    ■ account_no：用户账号名，存在敏感信息，低风险。
    ■ password：密码，存在敏感信息，高风险。
  ○ 模型训练与微调，并优化推断结果稳定性，与工具深度集成。3. 自动化敏感列识别模块
  ○ 提供自动化敏感列识别功能：
    ■ 规则优先：优先应用用户配置规则，条件满足时直接判定风险等级。
    ■ 推断优先：当规则匹配失败时，自动触发 AI 语义分析。
    ■ 联合识别：同时应用规则匹配与 AI 推断算法，两者结果一致时直接返回；若不一致，则优先规则结果并提供推断结果作为辅助建议。4. 工具整合与兼容性
  ○ 新模块需与现有 ODC 工具无缝集成，支持以下功能场景：
    ■ ODC 查看表结构时自动识别敏感列并给出提示
    ■ SQL Console 执行查询时敏感列自动识别并基于已有脱敏模块进行数据脱敏
  ○ 保证下兼容已有功能，同时升级工具的智能化能力。5. 项目文档与测试用例：
  ○ 提交项目全过程文档，包括：
    ■ 功能说明与设计方法
    ■ 模块架构设计
    ■ 用户交互指南
  ○ 提供测试用例：
    ■ 用户场景覆盖：基于规则和模型的识别效果展示。
    ■ 测试数据样例：各种场景表结构与的敏感列识别表现。"
MateChat模板VSCode插件兼容支持,基础,"[[""web"",""UI""],[""web"",""Vue.js""]]",根据用户使用习惯的不同，用户可能希望通过在VSCode中使用matechat来进行与模型的对话，目前matechat仅支持了pc端。本项目要求提供一套基于pc端一站式解决方案模板自动生成VSCode插件模板的方案，在pc端一站式解决方案的模板迭代后，通过脚本或插件的方式，自动更新VSCode插件的模板，不再需要人工维护多份模板。,"1、编写一个脚本或插件，用于将pc端的一站式解决方案模板自动生成VSCode插件模板
2、脚本或插件，尽量使用简单"
为Apollo提供完善的OpenAPI方式接口能力,进阶,"[[""web"",""Spring Boot""],[""web"",""Web Application""]]",Apollo作为一款可靠的分布式配置管理中心，提供不同环境、不同集群应用集中化配置管理，配置修改后能够实时推送到应用端，并且具备规范的权限、流程治理等特性，适用于微服务配置管理场景。Apollo目前主要提供的配置管理方式为基于Web Portal的配置管理方式，配置操作需要人工操作，为了更好的支撑自动化配置场景，以满足更加丰富的配置管理场景，考虑为Apollo增加一套完善的OpenAPI接口，实现自动化配置管理功能。,1. 完成Apollo配置管理功能的梳理，并遵循Restful规范，完成OpenAPI接口设计2. 按照设计的OpenAPI接口实现接口能力（共 29 个接口）3. WebPortal前端调整，接口与OpenAPI接口统一（共 123 个接口）
构建AI+硬件陪伴玩具,基础,"[[""chip"",""Chip Design/Verification""],[""codelang"",""Programming Language""]]",小X宝是面向多病种患者和家属提供辅助信息的平台，从2024年开始已经在多个平台完成了线上版本应用搭建，逐渐我们发现患者和家属还需要更多陪伴和关爱，不仅仅是咨询信息。所以在本期项目中我们发布《AI+硬件》的开源项目，帮助使用者能够和AI硬件陪伴玩具进行对话、获取及时信息、获得陪伴。除了小X宝平台，在沟通中发现很多公益和开发者团队希望将已经有的Agent软件落地到硬件中，无论是Agent还是AI硬件不只是属于少数头部玩家团队，更应该是通过开源项目推出适用于不同平台的开源框架和教程，帮助小X宝、帮助更多公益和其他非公益开发者团队构建AI硬件项目。软件层包括扣子、Dify、FastGPT、腾讯混元等，这些都是标准化的Agent软件，希望嵌入到硬件中提供语音交互功能。功能上包括1V1心里咨询、互动聊天、通过Agent获取信息、通过语音方式记录美好时光等等。硬件上包括普通芯片和玩偶，在本开源项目中核心关注软硬件结合与适配。这是一次开源挑战，参与该项目你将从0到1获得一个完整项目开发的机会，将获得包括产品设计、软件编码、硬件开发以及项目管理的能力，并且由你参与完成的这个开源项目将会让更多团队快速构建自己的AI+硬件项目。,1. 对Agent封装，能够通过软件方式进行调用2. 通过硬件能够进行基础对话3. 和硬件进行对话的数据能够记录保存，对数据进行可视化展示
