question,answer
怎样看待何小鹏发机器人「脱衣」视频回应是「真人扮演」质疑？其中有哪些技术值得关注？,何小鹏还是理工科思维，给人拉开衣服看一下里面的结构和灯，问题是想黑你的人还是不遗余力。要我说，就应该借题发挥，直接现场让机器人走两步之后，找个大砍刀来斩首示众，直接引爆话题，就跟马斯克砸车窗一样
怎样看待何小鹏发机器人「脱衣」视频回应是「真人扮演」质疑？其中有哪些技术值得关注？,特斯拉新能源车有一个好处，但凡有人嘲笑新能源车没用，那特斯拉就会出来挡枪。可惜的是马斯克搞的人形机器人还不行，要是这次发布的是马圣，估计就能看到明文之光。
怎样看待何小鹏发机器人「脱衣」视频回应是「真人扮演」质疑？其中有哪些技术值得关注？,最开始我看的是那个产品发布视频，我一开始也以为是人冒充的。所以早上的时候我也信誓旦旦的说小鹏不可能实现这个功能。当然，后来也就被打脸了。之所以我说不可能，是因为我之前只考虑过完全仿造人类骨骼的形态，也就是大腿骨和髋关节是通过一个万向球轴承连接的。这个结构实现的难点在于大腿的位置既要负责传动、又要负责前后、左右、转动 三种运动，这导致传动基本上就只能考虑软管液压或者仿生肌肉了。仿生肌肉目前没听说过能实用的；软管液压已经坑死了波士顿动力了，如果小鹏能做出来，那在自动化控制这方面绝对是全球第一，不过小鹏早就发布过机器人，都是电机和拉杆传动的。至于其他更复杂的传动，如果搞得跟钟表匠一样复杂，那未来产品绝对是死路一条。但后来小鹏发布脱衣服的辟谣视频的时候，从背后看机器人屁股动作，我确实想起了还有个方案，就是用多个单向关节来替代万向球。那为什么以前没人用这种方案呢，原因是这个方案从机器人性能上来说性价比很低。如果不打算仿人型，那就不需要考虑什么大腿和屁股的形状了。如果要仿人型，那么比人多出来的关节要像不影响外观，就必须做得非常小。然而关节太小，就会导致驱动的力臂很小，对电机出力要求就很大，而由此会导致电机本身很大，没法做到较小的空间里去，反而影响了外形，那如何称得上人形机器人？如果不考虑肢体的出力要求，那腿骨有左右摆的自由度，却没有相应的驱动力，那做这个关节的意义何在？这就是为什么以前大家都没考虑这种设计方案的原因。但如果放弃肢体性能方面的考虑，只要求走得好看，那用这个方案就能实现了，不需要腿摆动的力量很大，甚至完全可以通过胯关节来带动腿往外摆，用类似限位器的设计来防止大劈叉后拉不回来，这样就只需要很小的力量就能控制腿左右摆的动作了。以猫步为例，一侧胯提起来的时候，腿保持和胯的相对角度往前抬，自然就划出了个弧线；落脚的时候，胯往下放，腿内侧一个很小的拉力就能把脚落在另一只脚的正前面；后脚抬起的时候重复同样的动作，就能实现猫步。上面是在不用万向球的情况下，猫步如何实现的方法。这个方案里，腿关节其实没什么亮点，能做机械臂的企业都能做。这个方案的亮点其实在于腰椎的控制，必须允许胯关节左右像跷跷板一样动才行，这意味着身体和髋关节结合的地方必须允许左右摆。而髋关节左右摆动的情况下，上半身和腿部还能保持平衡，这个的相关算法控制至少目前看来是小鹏领先，毕竟其他搞机器人的企业都没搞过这种方案。腿关节没什么亮点，因为很多企业都能做，并且未来真的仿真人身上大概率不会用这种设计方案，但腰椎的设计和控制算法是可以延续到以后仿真机器人身上的，因为本来人脊椎的活动范围就不大，而且本来就分很多节的，所以机器人的脊椎也做成一节左右动、一节前后动，一节旋转这样循环的多节，最终动作和人比起来也不会有太大差别，而胸腔和腹腔能容纳大量的机械结构，因此这种设计方案未来完全继续沿用和发展。……………………另外，这个机器人走路的时候，后腿挪到前面时，外摆动作过程中不是很流畅，我推测是因为控制腿左右摆的驱动力太小，无法和扭胯的动作对抗，因此必须等扭胯导致腿外摆的动作停止后，才能通过精确控制腿往回摆的幅度。这个问题可以通过更多的数据采集来进行预测，以后可以做到动作更流畅，但也意味着这个机器人对抗外力干扰的能力会比较差，也就是说很容易从侧面被推倒。这也是为什么其他企业没采用这个方案的原因，大家都在卷行走稳定性和灵活性的时候，没考虑到有个人放弃其他性能卷怎么走路更漂亮。当然，如果后来小鹏把这机器人的裤子也拔了，展示出来的就是靠万向轴来完成这个动作的，那算我又被打脸了，那我也只能承认小鹏的机器人技术全球第一。………………………………………………PS:至于有些人质疑小鹏的机器人为什么要做大腿和小腿的肌肉，其实那里面大概率是电机驱动的拉杆，硬质拉杆（硬管液压其实也可以）同时拥有液压的小体积（或者说体积更贴合肌肉形状）和电机的控制精度，缺点是骨骼不能其他方向旋转或者可旋转的空间非常小。想要具备多方向的自由度，特别是轴向旋转能力的话，替代方案就那么几个，一个是电机驱动钢缆（就自行车刹车一样），缺点是幅度小、精度差、钢缆易变形、响应速度慢；特别是变形和响应速度慢的问题，换成双足机器人连站起来都困难。软管液压，因为可靠性和成本问题，已经坑死了波士顿了；仿真肌肉，技术不够先进，还用不上；关节电机，关节只能单向，还造成关节膨大的问题。当然，就像我以前说的那样，如果你对机器人的肢体力量要求不高，那很多问题就不是问题了。就像有些人说的要求仿真娃娃自己走去清洗自己，在小鹏这个机器人平台上就能实现。当然随着关节增多，价格也是哗啦啦的往上涨。不要求支撑能力的关节，多一个多收一两千块钱；有支撑和移动自身肢体能力的关节，估计多一个就要多卖你一两万；如果你还要求她能做点儿家务的话，且不说现在还做不出这种智能来，也做不出能和人媲美的手脚关节，就算未来能做出来，初期估计也是一个脚掌一套房、一个巴掌一套别墅的价位。PS2:我猜测一下，一个仿真娃娃，能具备对话、能仰面摆姿势，能给你一个爱的抱抱这些功能，年销售规模达到几十万台的时候，估计价格能打到20万左右，甚至十几万人民币。能自己移动，能自己走到清洗设备上，也就是小鹏这个再加强点儿输出功率，估计年销量达到几十万台时，售价能砍到四五十万，但最大的问题是这么高的价格怎么卖出去几十万台。好消息是，解锁更多姿势了，并且附送扭胯的能力。而且如果你愿意冒点儿险的话，可以尝试骑乘式。至于能做家务，还能完全配合你滚来滚去的，目前技术还做不出来。另外，对话功能很可能是联网付费项目。
怎样看待何小鹏发机器人「脱衣」视频回应是「真人扮演」质疑？其中有哪些技术值得关注？,如果将机器人身上的柔性材料拉开一条缝就可以叫“脱衣”，那么我现在是在全裸回答。从这问题展示的视频里看不出多少技术。一些人还想看小鹏方面将 IRON 机器人的内部结构拆开，乃至展示该机器人没有头、没有上半身也可以活动，再将部件拼装回去、走下场，进一步提升视觉冲击力。关于中文互联网上围绕小鹏 IRON 机器人的一些混乱，我认为，将该机器人的步态称为“猫步”、夸大地谈论其女性曲线的媒体和“自媒体”有一些责任。一些文章宛如来自异世界地声称该机器人“丰乳肥臀”、是“二次元美女”。在知乎和其他若干平台，一些网友怀疑该机器人由人扮演，他们给出的理由站不住脚：该机器人局部的外壳零件形状与过去展示的不同，“你总不能说是把这个结构件拆了吧”——为什么不能？原型机阶段的机器人外壳是经常反复调整的；该机器人的柔性材料下面有些部件像女式内衣——我认为此人有一定概率从未近距离看过女孩子穿着内衣和中等厚度外套的样子；该机器人没有可见的指示灯——要是有指示灯、只是视频里没有展示，你要怎么办？上面这些质疑是在柔性材料上拉开一条本就存在的缝即可变成回旋镖的虚弱质疑。另一方面，一些网友怀疑上述混乱是小鹏方面故意引发的，他们先利用怀疑的声音炒热话题，再快速自证，满足许多网友对“打脸”的审美偏好。
怎样看待何小鹏发机器人「脱衣」视频回应是「真人扮演」质疑？其中有哪些技术值得关注？,真肯定是真，如何做到的，相关行业者来做一个人形小科普。（非广无吹，客观中立）前言首先，为什么人形机器人就突然进步这么快了，车企尤其积极，特斯拉在做小鹏也做。现在车智能驾驶做的相对落地，最起码消费者可以用了。于是相聪明的你一想，能控制四个轮子，轮子变个形不就是四肢了吗？人形机器人就是大模型智能化的一个场景，现在很多车企、科技公司的软硬件都具备了切入条件。小鹏IRON机器人走猫步怎么做到的？答案就是，大力飞砖！全身 82 DoF、手部 22 DoF（1:1 人手；“行业最小谐波关节”）、执行器的顺应性控制，3×图灵芯片，全固态电池的系统化。看不懂没关系，我来详细解释。正文第一、离谱的全身 82 DoF、手部 22 DoF。DoF（自由度）是“能独立动的方向/方式”的数量。肘 （屈伸）就1个自由度，颈部（点头/摇头/侧倾）就是 2–3 个，总的自由度越高，可以做的动作就也越多。这玩意儿全身各种 82 DoF、手部 22 DoF。猜数一下：手（双手）= 22（双手还是单手 22 个官方也没说，暂定双手）上臂：每侧 9（肩球3 + 肩胛2 + 肘1 + 前臂旋1 + 腕2）×2 = 18下肢：每条腿 8（髋3 + 膝1 + 踝3〔含内外翻/旋〕 + 趾1）×2 = 16颈：3；躯干/骨盆（胸腰/骨盆分段）23（把“脊柱/骨盆/腹腰”细分成多段三轴）合计 ≈ 82这么高的自由度，首先保证了，你人能摆什么姿势，它都能跟，只有它能摆而人做不出来的姿势，专业术语叫位姿冗余。（更详细的每个部位怎么实现的我附在文末）这一部分保证仿生基础：什么姿势都可以摆了，就是控制的问题。第二，执行器的顺应性控制。简单说就是这些电机之类，该硬就硬，该软就软，控制的很好。高刚度：动作准、抗扰强，但触地/人机接触容易“硬碰硬”。高顺应（低刚度 + 合理阻尼）：更安全、更柔和，但要防抖、防漂移。脚要落地了 → 先软，像踩到地毯：脚踝和膝盖先“放软”，轻轻把重量交给地面，避免“砰”的一声；脚在承重与蹬地 → 变硬，起身或上台阶：该关节“收紧”，支撑力稳，身体不晃；被人碰到/撞一下 → 立刻更软+限力，先“让一让”把冲击卸掉，再慢慢回到原来的姿势。这一部分保证了，大脑要实现的什么样的控制，可以执行实现。不要执行前进命令，走的像一个僵尸一样。第三，大脑-3×图灵芯片。塞了三层“物理智能”模型：VLT + VLA + VLM。（感知-语言-行动）简答说，VLM 负责“懂语义”，VLT 负责“想清任务/运动意图”，VLA 负责“把它化成可执行动作”。三者并行/串接，形成“从语义到动作”的链路。IRON端上有3 颗“图灵（Turing）AI 芯片”做本地推理，把感知-语言-行动的大模型尽可能下沉到端侧（本地），减轻云端依赖、降低延迟并提升隐私/可用性。当然，这肯定不是小鹏首创新，机器人行业里有控制老三件的：“老三件是LIPM/ICP（决定迈哪一步）+ MPC/QP-WBC（把力分到每个关节）+ VIC（让接触不硬碰硬）。”小鹏IRON在这三件上创新，本质上还是大力飞砖：一是线性执行器几何 + 拮抗差动，让‘硬度’和‘动作’可分控；二是VLA/端侧三芯把‘看见→决定→发力’的闭环压短到人能感知的顺滑，走起来很像人（具体对边参见表格二）售价宅男仙女们不要太开心，让快上链接的，我来给算下价格。个人猜测：可上岗的全尺寸工业人形”，单机预售价大概率在 30–50 万元带；若你要随出厂提供“场景化解决方案”，整包价落入40–70 万元区间。成本价：成本模块 核心构成 小批量（万元） 量产初期（万元）动力执行系统 线性执行器（BLDC+行星滚柱丝杠+连杆/摇臂）、伺服驱动 6–10 4.5–8旋转减速关节 谐波/行星减速器（肩/肘/腕/腰等） 1.5–4 1.0–2.5灵巧手 22 DoF 双手（小型谐波/微型线性+触觉） 2.5–6 1.5–3.5传感器 多目相机、毫米波/4D 雷达、IMU、六维力/力矩 1.5–5 1.0–3算力与控制器 车规域控 + 3×图灵芯片、驱动器、通信 2.5–5 2.0–4电池+BMS 1.5–2.5 kWh 全固态（BMS/外壳/热管理） 0.6–1.5 0.4–1.0结构/外覆/线束/装测 骨架与柔性皮肤、线束、总装与测试 4–7 3–5合计（BOM） ≈18.6–38.5 ≈13.4–27.0BOM→加制造与质保（10–15%）→加整机毛利（20–35%，B2B 工业多配套场景/维保打包）。再用竞品与市场带校准，大概率就是 30-70 万。待机多久？好问题！这取决于：应用场景+电池容量IRON 采用全固态，有很大可能在体积/重量受限下做到2 kWh 量级（参考同级 Figure/Optimus），但官方未公布精确容量，大企一贯尿性三个版本呗。场景 平均功率（W）【推测】 1.5 kWh 续航（h）【标准版】 2.0 kWh 续航（h）【Pro 版】 2.5 kWh 续航（h）【ProMax】待机/静立展示 90–140 10.7–16.7 14.3–22.2 17.9–27.8巡场慢走 0.5–0.8 m/s（轻交互） 250–350 4.3–6.0 5.7–8.0 7.1–10.0平地 1.0–1.2 m/s（常速巡检） 450–600 2.5–3.3 3.3–4.4 4.2–5.6楼梯/斜坡 + 轻搬运（10–15 kg） 600–900 1.7–2.5 2.2–3.3 2.8–4.2重作业峰值（短时抬举/快速变向） 1000–1200 1.2–1.5 1.7–2.0 2.1–2.5只能选小鹏？还有很多！以下评分仅代表个人观点，很主观那种，评论区反驳。机型 步态自然度 灵巧度 能源体系 产业化成熟度 安全/人机交互 成本可及性小鹏 IRON 4.0 4.0 3.5 2.5 3.5 3.0Tesla Optimus 3.0 3.0 3.5 2.0 3.0 2.5Figure 02 3.5 3.5 3.5 3.0 3.0 2.5优必选 Walker S2 3.0 3.0 3.0 3.5 3.0 3.0宇树 Unitree H1 3.5 2.5 3.0 2.5 2.5 3.0宇树 Unitree R1（轻量） 2.5 2.0 2.5 3.0 2.5 4.5傅里叶 Fourier GR-1 2.5 2.5 3.0 2.0 2.5 2.0星动纪元 Astribot S1 3.5 3.5 3.0 2.0 2.5 2.5小米 CyberOne 2.5 2.0 2.5 1.5 2.5 3.0智元（AgiBot）精灵 G1 3.0 2.5 3.0 2.5 2.5 3.5附录表格：表格一 机器人各个部位DoF 及机械实现部位 典型 DoF 机械实现（致动+传动） 备注颈部（俯仰/偏航/侧倾） 2–3 小功率旋转伺服电机 + 谐波/行星减速 或万向/云台式并联 需布置麦阵/摄像头，体积受限，常做轻质高回差控制肩（球形） 3 三轴旋转伺服 + 谐波串联；或差动并联（两电机合成多轴） 串联紧凑，差动可降质量但控制更复杂肘（屈伸） 1 旋转伺服 + 谐波/行星 单轴扭矩需求中等，追求回差小前臂旋前/旋后 1 细长中空伺服 + 同轴减速；或腕端差动 需走线走管腕（屈伸/桡尺偏） 2–3 小型旋转伺服 + 谐波；或微型线性执行器 + 摇臂 追求手端紧凑与低回差髋（球形） 3 线性执行器（电机+滚珠/滚柱丝杠）×2–3 + 连杆/摇臂；或旋转伺服+谐波 线性方案把直线推力经几何放大为关节力矩，刚度/顺应可调膝（屈伸） 1 线性执行器 + 连杆/四连杆；少数用旋转伺服+谐波 高负载、短行程，“线性更省力”踝（背屈/跖屈+内外翻/微偏航） 2–3 双线性执行器拮抗/差动 + 摇臂；或小型旋转伺服并联 需要可变阻抗，落脚“滚足”更顺骨盆/躯干（俯仰/滚转/扭转） 3–6（分段） 并联/差动机构（两电机合成三轴）＋旋转伺服；或线性作腰部伸缩 让“骨盆微摆/胸腰反相”可用手指（屈伸/外展） 每指 2–4 微型谐波、微型线性执行器、腱索/钢丝绳传动（差动/欠驱动） 追求高密度+触觉，常用差动减少电机数趾关节 1–2 微型旋转/腱索；或随踝联动 多为稳定/抓地辅助表格二 模型 VLT + VLA + VLM 对比老三件老三件 作用 IRON 的改良点（推断） 实际效果（示例）LIPM/ICP 质心与落足快速规划 用 VLA把视觉场景转成速度/足区；把骨盆/躯干协同作为计划变量 人群/障碍中自适应“迈多大步、往哪落”，骨盆微摆自然MPC/QP-WBC 把多任务+约束解成全身力矩/接触力 模型里加入线性执行器几何 r(θ)与拮抗参数；接触切换更平滑 承重更稳、过渡少抖，推/拧任务更“顶”VIC（阻抗/导纳） 软着陆、限力、安全 做成分相位的 K/B 曲线；导纳优先、拮抗共收缩“电控增刚” 落脚轻、站得稳；碰到人/障碍秒切“软档”
怎样看待何小鹏发机器人「脱衣」视频回应是「真人扮演」质疑？其中有哪些技术值得关注？,小鹏不太可能会在这个问题上硬造假，真正的问题其实是sugar coating是先行者的特权。它的问题出在连敏捷、负重、持久、过热问题都没解决，先去解决“人形”问题。现在的机器人还在用关节电机驱动，和肌肉收缩驱动的生体结构相比在上述三方面劣势极大，本质上还处在“有肺结核的老年霍元甲”阶段。这个阶段，作为核心厂商，骨骼肢体越轻越好，根本就不宜分配任何多余的载荷给蒙皮。要不要装蒙皮，要装什么蒙皮，应该由采购这个平台的用户自己去另作决定。换言之，宇树那个“骨瘦如柴”的平台才是真正的工程正解。除非你改用某种气动或者电敏肌肉伸缩驱动，否则你的机器人根本不该天然具有肌肉人形，而应该老老实实呈现“类骷髅”外形。你的“肌肉”全是【装饰】。如果你只是打印了一个极薄的防尘壳也罢了，有限成本可以理解，也不会影响散热。你在外面再套一层织物、花这么大的成本去塑造性征，这就走得太远了。现在真正的竞争是谁能做出更强健敏捷而编程效率高的人形平台。只有绝对领先的那个冠军可以有资格用“额外浪费资源在外观上”来炫耀自己的领先优势。第二名以后的落后者还花大量心思和资源在外观上，只会反过来证明其团队思路严重收到融资营销的无谓影响。这是企业战略呈现出了伦理偏差、战略性的重点不清。因此这个呈现其实是扣分的。
怎样看待何小鹏发机器人「脱衣」视频回应是「真人扮演」质疑？其中有哪些技术值得关注？,都争竞啥，赌一把，现场下单，买回家是真人就赚翻了
怎样看待何小鹏发机器人「脱衣」视频回应是「真人扮演」质疑？其中有哪些技术值得关注？,鹏总开门，我有事找你，想看看你家的机器人，咱们有很多共同话题可以聊聊
荷兰安世停止向中国工厂供应晶圆，安世中国称「已建立充足成品与在制品库存」，此次断供影响有多大？,从安世荷兰高管发难到冻结再到走完法院程序，整个过程不到三天。还有人相信西方国家所谓的【独立司法】吗？这件事终将在历史上书写一笔的，史称【安世之乱】。
荷兰安世停止向中国工厂供应晶圆，安世中国称「已建立充足成品与在制品库存」，此次断供影响有多大？,对中国这边影响不大，但是对荷兰那边影响很大。深度解读一下背后：目前，安世半导体荷兰总部的高管已经非常着急，想要做最后的挣扎。由于美国暂停了对中国企业50%穿透性的制裁，荷兰方面对安世半导体的争夺已经越来越站不住脚，他们现在面临极大的压力。事情的本质是，这些国外高管出于自身利益，试图用整个荷兰公司与中国母公司闻泰集团进行博弈。他们在荷兰政商界确实有很大的影响力，认为动用到政府层面的关系后，应该能够把安世半导体牢牢掌控在自己手里，然后强制卖给其他欧洲公司，从中再赚一笔。但在中美博弈的大背景下，美国已经退让，这让夹在中间、原本急于站队的荷兰现在变得不知所措。从安世半导体所在的整个产业链来看，安世在荷兰、德国等地的工厂主要负责上游晶片的生产，而下游的封装主要在中国的工厂。整个芯片制造产业链需要先由上游工厂生产晶片，最终在交付客户之前，由封装厂将其变成成品。现在如果安世要重新寻找下游的封装厂，这就意味着所有的汽车主机厂都要重新完成一遍标准的认定。这个过程相当麻烦，时间也很长。汽车主机厂没有必要去配合安世荷兰这边，同时也很难有下游的封装厂愿意和安世荷兰合作。毕竟，安世荷兰实际上是闻泰集团百分之百控股的子公司。如果现在和安世荷兰签了协议，等到之后事情解决了，闻泰这边肯定是不认可的，那前期所有的投入都白花了，而且双方还会变成敌人，甚至可能站在中国的对立面。这些都是下游有封装能力的公司要考虑的问题。所以现在安世荷兰已经摸不着头脑。他们以中国东莞工厂没有结清货款为由，不给下游的封装厂供应晶片。但是，安世中国这边已经发声明说，实际上安世荷兰还欠着安世中国十个亿资金。对于安世中国来说，重新找到上游的晶片供应商并不是难事，而且自己这边实际上也有晶片产能，只是以前规模比较小，也顾及安世荷兰那边的反应，所以没有在短期内扩大。接下来，无论是寻找国内的供应商，还是中长期自己扩大产能，都可以把上游晶片供应的问题解决。反正封装厂在自己手里，这条产业链是可以闭环的。同时，安世中国在和汽车主机厂客户做生意时，结算方式由美元改为人民币，也实现了业务上的闭环。也就是说，未来即使出现最坏的结果，安世中国这边仍然可以独立运作。这次争端，实际上也让中国的厂商更加清晰，一些国家所谓的规则，并不可靠，必要的时候，他们可以随手找出一条来，给抢劫行为披上一层外衣。安世中国最新的声明这样说：安世中国11月2日凌晨发布致客户公告函：相信大家已经获悉，荷兰安世半导体单方面决定自2025年10月26日起停止向位于东莞的封装测试工厂（ATGD）供应晶圆。在致客户的函件中，荷兰安世半导体声称此举系所谓的“当地管理层近期未能遵守约定的合同付款条件的直接后果”。上述言论混淆视听，极具误导性，我们对此极为震惊并强烈反对。在此，我们郑重声明如下：1. 荷兰安世半导体所谓“当地管理层近期未能遵守约定的合同付款条件”完全是无中生有，恶意抹黑安世中国管理层。安世中国不存在违约行为；恰恰相反，荷兰安世半导体目前欠付ATGD的货款高达10亿元人民币。2. 荷兰安世半导体相关管理层在决策过程中严重失职失责，将个人利益凌驾于公司整体利益之上，严重违背职业操守和公司治理要求，由此给公司、广大员工造成的损失，应依法承担责任。3. 荷兰安世半导体单方面停止供货的行为，完全置客户利益于不顾，严重违反合同约定和商业合作原则，严重破坏了客户信任，是极其不负责任的做法。4. 目前，安世中国已建立充足的成品与在制品库存，能够稳定、持续地满足广大客户直至年底乃至更长时间的订单需求，供应链安全可靠。为确保供应的长期性与韧性，我们已积极启动多套预案，正在加紧验证新的晶圆产能。我们对在短期内完成验证、并自明年起无缝衔接满足所有客户需求充满信心。作为百年品牌，安世能取得今天的成绩离不开广大客户的信任和支持。安世中国珍惜客户对我们的信任， 始终将客户利益放在首位。荷兰安世半导体单方面停止供货的行为不会改变我们对产品品质和履行客户 承诺的坚持。安世中国将继续与广大客户保持及时、透明的沟通，也请客户一如既往地给予安世中国信任与支持。（安世半导体中国有限公司）结合我前面说的，还有这个公告，大家已经能理解现在的情况了。————————后面是之前写的安世半导体的来龙去脉前因后果：（和前面最新的分析里有少量重复，给没有了解之前情况的朋友）最早，安世半导体是荷兰恩智浦旗下的企业，在全球半导体产业里，主要生产汽车行业用的芯片。因为经营不善差点倒闭，这时中国的闻泰公司收购了他们。闻泰之前是做消费电子产品代工的，但代工利润不高，一直在找转型机会，正好借着收购这家荷兰公司，进入了半导体行业。被收购之后，一方面中国国内的汽车主机厂可以放心用他们，毕竟作为中国公司的子公司，稳定性有保障，另一方面欧洲的车企也愿意使用，因为毕竟是欧洲公司。在加上扩展了国内的产能，70%的封测都在中国进行，利用了中国的供应链资源，成本也进一步降低。安世的业绩从濒临破产到逐步好转。闻泰这边，只派了 CEO 过去，其他高管都不换人，一律由原欧洲的人马担任，甚至一些人还升了职，CEO 过去也有意和这些人搞好关系。总之从中国人的角度，为了让这些人安心，尽量少插手人事（一般来说收购一家公司，换人才是常态），这也为之后埋下了隐患。蜜月期总会过去。荷兰那边的管理层，一开始除了CEO的安抚，因为公司之前经营不善，好不容易有中国企业来拯救，肯定愿意配合。但时间长了，公司缓过来了，经营状态也好了，内斗就开始了。很多人说外国人不讲关系、没有人情世故，其实是错误的理解，只是没进入他们讲关系、讲人情世故的圈子。当中国的母公司希望更多参与子公司的生产布局和管理，比如想换掉一些高管，这很正常——接手公司后，长期来看总会安排自己人，给新人机会。这时安世在荷兰的管理层就开始搞事了。正常情况下，100%控股的母公司不可能斗不过子公司，但这些荷兰管理层神通广大，荷兰的政商圈子本就不大，他们想了个办法，让荷兰商务部依据一部上世纪50年代战时使用的法律，夺取了闻泰对安世公司的控制权。这里有个背景，前一段时间美国商务部出了个特别恶心的政策，对中国公司制裁时要“穿透”——以前制裁中国公司不会连带子公司或有股权关系的公司，现在旗下公司也要跟着被制裁。闻泰本就被美国制裁，所以安世也有被制裁的风险。但这只是个插曲，不是荷兰夺取公司的真正原因。真正原因是这些高管利用这个背景，想为自己谋取利益。现在荷兰商务部解释说，荷兰是独立决策，不受美国指使，和美国没关系。但美国媒体纷纷表示“荷兰听美国的话搞中国企业”，客观上拆了荷兰政府的台。其实荷兰这些人脑子不清醒，不管是听美国的还是自己想这么做，本质上都是对中国有敌意吗？是要把中国当敌人吗？尤其还引用战时法律夺取中国公司的资产，这是什么行为？目前荷兰的安世总部切断了中国这边安世中国的内部系统访问权限，甚至不给安世中国发工资。但前两天安世中国发了声明，说自己独立运作，完全听从100%控股的股东闻泰的安排，要恢复对原有客户的供货。安世的欧洲汽车厂商客户很着急，因为汽车公司没有存货，供应链讲究流转效率，要是没芯片就麻烦了。但安世荷兰要完全生产产品，70%左右的封测产能在中国，而且稀土等原材料供应也依赖中国，现在这种情况肯定没法给他们供货，过段时间安世荷兰很可能无法出货。另外，安世有很多中国客户，安世中国可以正常给中国汽车厂商供货。不过安世中国也会遇到不少麻烦。比如总部切断了系统，以前的订单流程得改成线下，人力投入要成倍增加。上游的一些原材料、晶片，以前有部分从国外进口，现在受总部问题影响，需要时间重新调整。但长期来看，安世中国完全独立运作应该没问题。因为荷兰和欧洲生产的晶片工艺相对落后，闻泰在国内本就建了一些晶圆厂，过段时间产能可能逐步恢复。更重要的是，安世的产品技术门槛不高，国内替代性很强。所以国内一些原本的竞争对手可能会填补空出的产能。美国的德州仪器等公司这次也会受益，能替代欧洲厂商的部分需求，甚至中国国内厂商的一些需求。总之，这事最大的受害者是闻泰——他们本已卖掉消费电子代工业务，花几百亿收购安世，成功进军半导体，这次却大伤元气。就算打赢这场斗争、夺回荷兰的控制权，汽车行业也会重新考量供应链稳定性，安世和闻泰的市场占有率肯定会下降。再就是荷兰自己。本来中国公司收购后救活了这家在汽车半导体领域还不错的公司，解决了荷兰的就业，让科研和生产留在荷兰、欧洲。但如果这事没解决，安世荷兰大概率会倒掉，很多人会失业，整个研发和生产产业也没了，原有份额可能被美国公司（比如德州仪器）或中国竞争者抢走，荷兰等于硬生生没了一家公司。而安世的这些高管其实无所谓。闹得好能夺取荷兰安世的控制权，或者利用荷兰商务部强制闻泰把安世卖给其他公司，自己从中获利；就算最后搞砸了，对他们影响也不大，这些人真是太坏了。从中国的角度看，这是个原则性问题。我们不可能允许荷兰夺取中国公司的投资，否则以后中国在全球的投资都可能有风险。一个国家的财富，除了国内的生产、制造、经营，海外资产也很重要。比如日本的海外资产规模很大，在很多国家都有投资。我们国家的海外资产也在逐步增加，这次对荷兰的态度，直接决定以后海外资产的安全性，所以我们不会有任何退让。为什么说荷兰政府有些人脑子不清醒？他们可能为了个人私利，和公司高管有个人关系甚至利益往来，还为了讨好美国，粗暴夺取中国公司的资产。但实际上他们损失很大——荷兰在中国有很多投资，总金额远超过中国在荷兰的投资，而且中国是荷兰的第一大贸易国。这事他们内部估计也会掰扯，但现在很多欧洲国家的政客不太正常，这就没法控制了。其实对中国来说，这也是个好机会，能让荷兰乃至欧洲重新审视和中国的关系。就像之前荷兰的光刻机出口，动不动就听美国的限制对中国出口，可荷兰光刻机生产离不开中国——中国不供给稀土，荷兰光刻机也要停产。这次也是个契机，在中美博弈中，这些小国要么明确站队，要么就好好保持中立赚钱，谁都别得罪。想像以前那样投靠美国、损害中国利益，已经不可能了，因为中国的反击他们可能承受不起。
荷兰安世停止向中国工厂供应晶圆，安世中国称「已建立充足成品与在制品库存」，此次断供影响有多大？,荷兰可能是最适合杀鸡儆猴的那一个。如果中国想要在中美对抗大环境下保证世界上大多数国家不要一边倒地倾向于美国，那么就必须杀这只鸡，否则后面其它国家看到荷兰骑脸中国无事发生，只怕会纷纷仿而效之了。
