这次再试试，虽然可能依旧会失败，会被现实毒打	，但还我这个屡败屡战的深夜轮回重症患者还是想再试试。谢谢所有书友！
萧逸枫与柔儿刚刚飞出了无涯殿的范围，就看到了凌空而立的柳寒烟。来到飞雪殿，看着一脸寒霜的柳寒烟	，心中直打嘀咕。自己真的不会被柳寒烟砍死吧？好像她真砍自己，没人救得了自己啊。好在柳寒烟只是神色冷淡，平静地看了两人一眼，问道“你们准备好了吗”柔儿笑靥如花道“嗯，辛苦姐姐了”萧逸枫点头道“回师伯，准备好了。
柳寒烟淡淡地道“我也鲜少下来游玩，对于这些并不熟悉”她瞥了萧逸枫一眼道“想来真正熟悉俗世的应该是萧少殿主吧”萧逸枫听着柳寒烟见外的称呼和夹枪带棒的话，心中不是滋味。看着柔儿期待的目光，他只能回道“师伯说笑了，弟子也没有太多时间游山玩水”柳寒烟只是淡淡道“不管怎样，也比我们两个深居浅出的人更加了解“那就有劳少殿主在前面带路吧”萧逸枫点	头道“是，师伯叫我名字即可，无须如此见外”柳寒烟不置可否，脸上还是冷冰冰的样子。
萧逸枫三人走在大街上，无疑是一道靓丽的风景线。一路走去，萧逸枫吓退了不少登徒浪子，充分担当了护花使者的位置。柳寒烟被柔儿拉着在一个个摊贩间跑来跑去，也买了不少杂七杂八的东西。她虽然买了不少，但看得出来兴趣缺缺。就在此时，大街中的一个带着小孩子的中年女子所在的小摊引起了她的注意。那个小摊位上挂着琳琅满目的小布偶，各种各样，有	大有小，看着颇为别致又有趣。
“张公子，张公子，你真不能进去”那掌柜的声音传来“滚，这新丰城还没张少爷不能进去的地方”一个恶声恶气的声音传来。很快大门就被推开，四个人闯了进来。当中的是一个锦衣白袍的公子哥，身后还有两个狗腿子跟	着。那掌柜则一头冷汗跟着在后面，左右为难的样子。萧逸枫暗道看来是城内不得了的纨绔公子，不然也不敢如此行事。
柳寒烟闻言一个激灵，凌冽的眼神看着萧逸枫。她不得不承认，柔儿说得对，这个色胚哪怕忘记了记忆，骨子里面可能还是色胚。自己怎么就因为他最近这彬彬有礼的样子而被他蒙骗了。柔儿单独跟他在一块，没准还真就半推半就，狼入虎口了。柳寒烟思虑再三，点头道“好，我跟你去就是，你别摇了”柔儿闻言兴高采烈地抱着她亲了一口道“姐姐，你真好”柳寒烟嫌弃地擦了擦脸道“油乎乎的，你别离我那么近，走开	点“不嘛，不嘛”柔儿使劲粘着柳寒烟，不断在她脸上蹭着。
柔儿说着就跑到柳寒烟面前，兴高采烈道“姐姐，你坐着别动“我给你打扮一番，再换一身好看的衣服，保证迷得他神魂颠倒”柳寒烟错愕道“我让他神魂颠倒做什么？他忘了我，我求之不	得呢“而且我们不是要整他吗？为什么还要梳妆打扮”柔儿心中微微一笑，你若是真求之不得，又岂会像现在这样黯然神伤呢。不过嘴上自然不可能这样说，她一本正经忽悠道“这是为了让对手放松警惕”www“再说，如果他神魂颠倒了，再让他求而不得，岂不是最好的报复吗”柳寒烟一呆，找不出什么话来反驳，也只好听之任之了。
萧逸枫跟着两人走出去，看着前面那温婉动人，如同青春少女一般的柳寒烟，他有些恍惚。自己初遇柳寒烟时候，她就已经是高高在上的广寒仙子，自己错过了她前半生，这算是另类的补回来吗？柔儿看着萧逸枫那愣神的样子，回身向他笑道“护花	使者还不快跟上”萧逸枫连忙应了一声，走到两人旁边落后半步。柔儿瞪了他一眼道“呆子，你这是当护卫吗？那么拘谨干什么”萧逸枫扫了柳寒烟一眼，柳寒烟淡淡道“既然是出来玩，就不必在意这些”萧逸枫马上从善如流走到她旁边，与两人并肩而行，柳寒烟走在当中。
萧逸枫三人沿河而下，这一路上只见桥上车水马龙，两岸人声鼎沸。河上都是各色各样的花船，各种嬉闹声不绝于耳，更有才子佳人吟诗作对，热闹非凡。两岸灯火如昼，倒映在波光粼粼的河水之中，美轮美奂。沿河有不少酒楼店铺临水而建，上面更有一个个小码头，能	临时上下。不少花船上放下小船，再由小船划到岸边，在那里购买东西或者临时上下客人。
柔儿一直想上花舫看花魁，如今有花魁来邀请又不去。这突然的转变让萧逸枫有些摸不着头脑，但他很快就醒悟了过来。这女子身上穿着的白狐披风让这丫头不满了。她虽然最近才变成狐族的一员，但毕竟是自己的种族，还是不喜别人猎杀的。柔儿	不满的还有一点，这女子太主动了，对自己有威胁！当那花魁小船靠近，萧逸枫让船老大邀其上船，与对方客气谈笑一番。
那姿容出众的女子轻轻一跃，如飞絮一般带着一阵阵香风从二楼飘然而落。她在半空中悠悠旋转一圈后款款站在萧逸枫面前顺势一礼，优雅而动人。那女子身材娇小却玲珑有致，魅惑之中又带着些许稚嫩之感，仿佛邻家俏皮少女一般。她微微一笑道“听风阁雨萱见过萧公子”雨萱笑盈盈地抬头，却见对方戴着个猪头面具，眼神有些	古怪看着自己。
萧逸枫有些心虚道“小门小派，不足挂齿，不提也罢”毕竟之前自己在北域时候冒充的可是玄月宫弟子，在这里可不能再冒充了吧。场中可是有一个玄月宫的弟子，自己如果继续冒充岂不是穿帮？雨萱疑惑，之前这家伙说自己是玄月宫弟子。现在有玄月宫弟子在场，两人似乎全然不认识，八成是个骗子。宋缺故作不悦道“萧兄讳莫如深，怕不是看不起我等“还是觉得我们是那种只看门户之人的庸俗之人”孟	浩奇也点头道“正是，萧道友又何必如此谦虚呢”雨萱美目笑盈盈地看着萧逸枫，她倒想看这家伙怎么圆。
孟浩奇也附和道“萧逸枫若是真那么强，又岂会被那叶辰给打败了”孙越冷笑一声，夸大其词道“据	说他可是全程毫无还手之力，若非同门师姐相救，早已经命丧当场了呢“如果情况属实，那他的师姐恐怕比他更适合当这天下第一天骄”孟浩奇笑道“据说他师姐与他青梅竹马，所以才故意将名声让给他”孙越解释道。场中有天骄一惊一乍道“原来如此啊，那他可真是万千宠爱于一身”这些天骄不留余力地贬低萧逸枫，无非是想抬高自身。
萧逸枫心中一动，小月会不会就躲在听风阁。毕竟听风阁除了这些风月女子，还为一些苦命女子提供躲避之地。哪怕小月不在，凭借听风阁的消息渠道，没准能找到她的消息。而且，听风阁如此神秘，极有可能与宿命有关。萧逸枫觉得自己还是得去探查一下。如	果无关，如果能跟听风阁搭上线也是一桩好事。毕竟在战争年代，情报可是很重要的。
在席间，雨萱和轩竹两人分别展示了其他才艺。两人一展歌喉，琴瑟合奏，合唱了一曲，再次技惊四座。她们不愧是听风阁的仙子，各种才艺样样精通，让人大开眼界。柔儿这	丫头看得格外兴高采烈，直呼不虚此行。这丫头的兴奋劲让萧逸枫都怀疑她如果是个男子，估计也是个流连青楼的男子。直到月半中天，萧逸枫见夜色已深，起身告辞。
轩竹闻言哑然，忍不住戳了她的小脑袋一下道“你这丫头，怎么想的！自己赎自己“你才见人家几次，就这样推心置腹了，小心被卖了还帮人数钱”雨萱笑道“姐姐放心，不会的啦”轩竹无奈问道“你可还记得他身边还有两个女子？就不怕嫁过去给人家做小吗”雨萱点头道“自然记得，无所谓吧，我们这等出身的做小的不是常态吗”不过她	皱了皱眉头，因为她发现自己竟然完全想不起那两个女子的样貌。
萧逸枫点头道“如果广微师伯真的是暗害师父的人，我独自前去，没准能让他露出马脚“若是广微师伯真敢动手杀我，师伯你再护着我也	不迟”柳寒烟拒绝道“我不同意，一个大乘期巅峰想杀你，你极有可能会命丧当场”萧逸枫再三劝说，也没有获得柳寒烟的同意，也只能作罢。柳寒烟被他提醒，还特地拿出两张冰凰符和一块玉佩给他。
叶九思柳寒烟嗯了一声道“城主万不可懈怠，小心驶得万年船，同时也不要打草惊蛇”剑九重一脸郑重道“仙子放心，我会提高警惕，不会给他任何机会的”柳寒烟歉意道“这乃是我问天宗之事，却让城主你们提心吊胆，实在歉意”剑九重摆了摆手笑道“仙子这是哪里话，你们知道得也晚了，不能怪你们”柳寒烟带着萧逸枫站起身来道“既然话已经带到，我也不便久留，先告辞了“仙子你们不在城中住上一晚吗？我好设宴款待”剑九重问道“住宿想必广微师兄会安排的，至于设宴就不必了，我喜欢清静”柳寒烟道“既然如此，那我也不	勉强了，仙子慢走”剑九重一脸不舍地相送萧逸枫两人出殿，看着他们前去偏殿找广微真人去了。
萧逸枫哈哈一笑道“我这是用命换的，哪有你这家伙这么厉害的天赋”两人低声聊着天，但由于柳寒烟的存在，叶九思明显有些拘谨，没有太放得开。好在路途并不远，很快叶九思就将两人带到一处偏院之中。叶九思对柳寒烟恭敬道“广寒师伯，此处就是您的住所	，还请将就一下”柳寒烟点了点头，抱着柔儿走到萧逸枫面前，将柔儿放到他手上。
萧逸枫将柳寒烟给的寒冰符收入怀中，避免到时候来不及拿出来就被人击杀。柔儿睡着了，萧逸枫在房中百无聊赖，只能盘膝修炼。到了晚饭时分，就有弟子送来饭菜。萧逸枫谢过以后，在房间中吃完饭，在房间中等叶九思找自己。他一直等到了戌时，天色彻底黑下来的时候，叶九思这家伙才匆匆赶来。叶九思略显疲惫，歉意道“小枫，让你久等了“你小子，我还以为你不来了呢”萧逸枫笑	道。
秦思卿四人都纷纷笑道“萧师弟客气了”众人端起酒杯一饮而尽，叶九思也端起酒杯喝完一杯，而后道“先失陪了”萧逸枫两人拱手告辞，让那酒馆掌柜安排个位置。酒馆掌柜早听到这边的动静，特地安排了一个二楼僻静的角落给两人。两人走后，秦思卿等人坐了下来，目送两人上二楼。那李晓梦一脸激动道“没想到看到萧逸枫本人了，回去珠儿肯定羡慕死”秦思卿笑着道“有没有点失望？这萧逸枫长得还不如叶师弟俊俏”李晓梦摇头道“长得也不差啊，比想象中好看多了，有种大权在握，游刃有余的感觉”唐为佳无语道“我怎么就没看出来”朱意明嘀咕道“这大名鼎鼎的萧逸枫也没有三头六臂嘛，真那么强吗”秦思卿笑道“人不可貌相，海水不可	斗量。
回到房间，萧逸枫躺到床上，有柳寒烟的保	护，他彻底放松下来。毕竟他所住的院落离柳寒烟不远，对于大乘来说转瞬即至，广微那家伙疯了才会在这出手对付他。趁着微醺的醉意，萧逸枫沉沉睡去，这次他是真的醉了，不是之前那种装的。柔儿那丫头见状，也迷迷糊糊地变化回人形。她趴在他身上，抱着他嘟囔了两声，心满意足睡去。
这一路上柔儿对柳寒烟是百般讨好	，各种出卖和欺负萧逸枫，看来是打定了主意要将功赎罪了。萧逸枫对此极为无奈，这妖精还真是顾着大房夫人，置他这个未来夫君于不顾了。不过能让柳寒烟的心情变好，萧逸枫倒也并不是很介意被欺负一下。随着附近的魔道中人也越来越多，天渊城近在咫尺了。萧逸枫三人站在白玉船上，看着前方那座天渊城。
萧逸枫说完以后，柔儿眼睛亮晶晶道“那圣后岂不是站在星辰圣殿之巅“对，整个星辰领域名义上都听她的，不过现在多了个冷汐秋”萧逸枫笑道。柔儿一脸崇拜道“原来女子也可以如此强大啊，我哪天也能如此呢”萧逸枫暗暗吐槽，你曾经也是一个渡劫境的高手好吧。根据柔儿之前的遗骸来看，	她曾经的实力绝对不比现在的姚若嫣弱。
柳寒烟点了点头，轻声开口道“自己多珍重，回去少招蜂引蝶”柔儿咯咯笑道“知道了，姐姐说的是，妹妹记住了”然后她款款	向萧逸枫行了一礼道“枫哥哥，这一路上多有得罪，还望海涵”萧逸枫回了一礼道“柔儿仙子，你这话就太见外了”柔儿灿烂地笑着挥手告别道“那我可就走了。枫哥哥，广寒姐姐，再见”她带着一阵香风，找准了方向，迅速飞离两人。
萧逸枫远远就看见了那醉乡楼，丢了一块上品妖元给那狗妖	道“可以了，没你事了”狗妖不由有些遗憾，毕竟如果能由他带过去，他还能问醉乡楼拿点提成。不过萧逸枫的话他也不敢不听，麻利地拿了妖元，恭敬道“公子慢走，公子玩得开心”萧逸枫不置可否地带着柳寒烟走了。两人走到醉乡楼旁边的小巷之中，柳寒烟布下阵法遮掩两人的行踪。
此刻城寨周围站着不少哨岗，正警惕地四处张望。见到萧逸枫两人飞回来，有巡查弟子下	来查探。柳寒烟毕竟乃是大乘巅峰修士，她想要阴谋隐藏身份，再简单不过。柳寒烟直接用摄心术蒙混了过去，两人顺利进入矿山中。星辰圣殿虽然之前有被苏妙晴和火凤给惊动过一次，抓走过一个小队长。但也不可能长时间安排着一位大乘驻扎在此地，不过防范倒是比之前严密了许多。
萧逸枫押着柳寒烟，一路引来不少人观看，萧逸枫的解释就是自己抓到	了奸-细。柳寒烟此刻露出的修为也不过是元婴境，所以没有引起任何人的怀疑。就这样萧逸枫光明正大地押着柳寒烟来到了陆玉山所在的临时住所。外面如萧逸枫两人所见一般，守着不少守卫。见萧逸枫押着所谓的奸细，嘴上说有重要事情要禀报，耽误不起，也就没多阻拦。
萧逸枫恭敬道“是，护法”他走近柳寒烟低声道“师伯，冒犯了”柳寒烟还没搞清楚状况，就	被萧逸枫用一个黑色的布将她整个人裹了一圈，弯腰一把将她扛在肩膀上。柳寒烟哪里还不知道萧逸枫这是打算将自己装成尸体扛出去丢了？她只觉得眼中一片漆黑，一股血腥味涌来。这是因为萧逸枫为了逼真，还特地在黑布里面放了不少血包。
柳寒烟被他装疯卖傻气得不轻，这家伙真能装，你那心理素质能被吓死？www.不过她还真不好跟这装疯卖傻的家伙计较这些，只能转移话题道“那陆玉山怎么回事”萧逸枫脸色微微泛白，无奈笑道“这些恐怕要等一下才能回复师伯了”他满头大汗地扶着跌坐在甲板上，双眼紧闭，陷入昏	迷中。他一副深陷梦境的难受模样，浑身冷汗不断冒出，无意识地抽搐着。
柳寒烟猜也是如此，毕竟如果毫无限制，这种术法也未免太逆天了。她问道“你对陆玉山下了什么命令”萧逸枫只是避重就轻道“没什么，只是让他帮忙遮掩一下我们的痕迹罢了”柳寒烟也不太关注这些，只是继续看着远方道“马上要到日耀域了，你准	备一下”萧逸枫这才发现自己两人已经在赤火域与日耀域的边缘了，不由苦笑一声。
萧逸枫尴尬道“师伯，那弟子用如烟诀遮掩一二”柳寒烟微微侧了一下手中的油纸伞道“过来吧”	萧逸枫迟疑了一下，柳寒烟疑惑地看了他一眼。萧逸枫这才点头道“那弟子就领命了”他走入伞下，跟柳寒烟撑着一把伞。柳寒烟熟悉的香气不断钻入他鼻翼之间，让他烦躁的内心再次安静下来。他努力克制住自己去看她的冲动，跟她保持着一定的距离。
柳寒烟哪里不知道这家伙是在占自己便宜。她冷着脸道“萧逸枫！你给我放尊重点，我是你师伯”萧逸枫一副茫然的样子道“我一直很尊重师伯啊”柳寒烟咬牙道“你少给我装傻充愣，再敢有越轨之举，你跟墨儿的婚事休想获得我同意”萧逸枫嘴上连连点头，暗道我才不怕呢，求之不得。所以接下来他还是没	脸没皮地讨好柳寒烟，对她有若有若无的亲昵之举。
柳寒烟看着他们如同多年好友一般谈笑，顿时觉得这座柳州城不再那么冰冷了。萧逸枫端起酒杯递给柳寒烟问道“娘子，可有兴趣浅浅喝一口”柳寒烟本不想喝，鼻翼动了动，却疑惑地端过酒，浅浅尝了一口。萧逸枫本是打趣一下柳寒烟，没想到她真会喝自己喝过的酒，有些诧异	“朱果酒”柳寒烟疑惑道。柳元宗愣在那，摸了摸脑袋道“萧夫人认识我家祖传的朱果酒”柳寒烟陷入回忆中，呢喃道“小时候偷喝过父亲的朱果酒，就是这个味道”柳元宗一拍脑袋道“对了，刚刚萧公子说是来此寻祖的？莫非是给令夫人寻祖”萧逸枫也没想到竟然会这么巧，不过仔细一想，这柳元宗住在柳寒烟祖宅，没准还真有点关系。
萧逸枫和柳元宗一边谈笑打趣着，一边抱着碗筷去后院水井边洗碗。柳寒烟则跟柳夫人坐在大厅中，烧着炉火，拉着家长里短。当然大多都是	柳夫人在说，柳寒烟静静听着。对于这对名义上是自己后代的夫妻，柳寒烟还是颇有好感的。柳夫人说了一会，摸了摸自己的肚子笑着问道“萧夫人和萧公子还没打算要个孩子吗”柳寒烟猝不及防被问了这么个问题，匆忙挥手布下结界防止萧逸枫偷听。
萧逸枫干脆地	走到一旁盘膝坐下，看着柳寒烟道“师伯，以我的实力，想必威胁不到你“师伯放心休息就是，我不会打扰师伯，师伯若是还不放心，我可以到院外修行”柳寒烟冷哼一声，终究还是没忍心赶他出去，冷冰冰道“随你”两人共处一个房间内，各自盘膝修炼，只是一个在床上，一个在地上。萧逸枫闻着空气中柳寒烟若有若无的香气，只觉得心旷神怡，心中宁静。
在得知广微真人在接到自	己的诏令还是打算在墨岩城长期久居不走，广陵真人也有些无奈。但毕竟现在证据不足，他也没办法让广微真人回来受审，而且大概他也是不会回来的。既然已经提醒了墨岩城，墨岩城也说了自己会防范广微，那自己也算仁至义尽了。就算广微真人真做出什么举动，自己事先有提醒，不算毫无作为，道义上也说得过去了。
接下来几天，萧逸枫问询了一	下林无忧的修行进度。林无忧的甲等资质加上一堆的资源叠加，短短数月竟然已经到了练气四层。这让萧逸枫也有些吃惊，这小子的修行进展属实有些吓人。他鼓励了几句，又检查了一下他的根基，避免他贪图修行快速而根基虚浮。他给林无忧指点了一下，做了几天不是太称职的师父。林无忧自幼聪慧，知道自己有如今的待遇，基本都是靠萧逸枫这个师父。
萧逸枫忙活了几天，处理完	自己手头上的事情，终于闲了下来。在林紫韵还没催促萧逸枫的时候，他就屁颠屁颠往飞雪殿去了。他先是去找了初墨，结果很不巧，初墨居然闭关了。萧逸枫便转而前去拜访柳寒烟。818小说柳寒烟在冰灵殿接见了他，摆明了态度，这是公事。结果这家伙还是各种献殷勤，半句不提他跟初墨的婚事，只顾着讨好她。
苏妙晴其实早已经有所感悟，但就是贪玩。她贪恋跟父母和萧逸枫在一起的时光，才死死压着不肯静下心来沉淀。如今萧逸枫说要闭关，没有出门，这让她也放下心来。苏千易夫妇赶着苏妙晴去闭关，让她好好修炼。苏千易更是笑骂道自己难道还会再栽跟头不成？林紫韵也笑着让苏妙晴给自己夫妇留点私	人空间，别老黏糊着。
一天后，天龙国国都。此刻城内比起其他地方更加森严，全城缟素，入目所及都是白色的。皇城内气氛紧张，一队队的卫兵	不断在巡逻，全城戒严。这不仅仅因为国主去世，更因为要提防国内的各大势力趁机夺权。皇宫内的后花园之中，渔歌一身素白面无表情，旁边就是神色悲怆的雨柔，两人身前是一个七岁的小孩。渔歌对雨柔道“雨柔姐姐节哀，皇兄突然去世，我们还是得先稳定国内先”雨柔点头，目光悲伤地对渔歌道“渔歌妹妹，如今陛下驾崩，雨柔又是一个不懂政事之人，还望妹妹多费心了”对她来说命运对她太过大起大落，自从被萧逸枫从渊海国的青楼内带走，托付给张天志。
萧逸枫顿时感觉自己抓到了什么，他问道“他可还有什么打算”渔歌当即一	五一十把张天志的打算说了一遍。萧逸枫这才知道，原来张天志经过多年的发展壮大，终于决定合两国之力，一同进攻青柞国。那青柞国就是那害死她们父皇的妖后所在的国家。张天志为此做了详细的部署，举国厉兵秣马，誓要报仇雪恨。他还作了长远的打算，先攻占青柞国，再以三国之力，吞并其他的国家。
萧逸枫担心她会说漏嘴，毕竟洛云可是知道自己是萧逸枫的，他可不想暴露此事“我有什么好看的，有什么就直说吧”洛云察觉到他拒人千里的态度，委屈道“公子连房门都不愿意让云儿进去吗？真是无情”萧逸枫有点为难道“这个”林	清妍绷不住了，从萧逸枫房间内款款走出，笑着问道“你们忙，要不要我给你们让个位置”萧逸枫尴尬地道“有什么事情，明天再说吧”洛云没想到林清妍居然在萧逸枫的房间里面，顿时瞪大了眼睛。
萧逸枫在林清妍的带领下，萧逸枫来到了人域的南面，偏远的南蛮之地。818小说此地地处偏僻，多是山区，树多林深，植被密布，毒蛇猛兽，到处都是。由于常年阴雨绵绵，加上多是穷山恶水，所以人口稀少。南蛮之地并不像	中原繁华，且不适合大面积开垦耕种粮食。加之由于南方一带群山环绕，更成为各种毒虫猛兽的栖身之所。
这天入夜，萧逸枫两人飞入到一处天然岩洞之内，打算进入山洞里面歇息一晚。只	见里面遍地都是一具具黑色的棺木，年代不同，款式不一。818小说不少棺木的棺材盖都没了，不知道被什么东西掀飞，露出里面的尸骨。这倒把林清妍吓得够呛，骂骂咧咧道“这什么鬼地方，怎么到处都是棺材”萧逸枫感觉颇为好笑，怎么这些女子一个个都这么怕这些神神鬼鬼的。
李道峰却叹道“能不般配吗？毕竟是宿世姻缘，希望他们此生不会有太多磨难吧”李雅冰张大嘴巴道“不是吧？真有宿世姻缘？那可真是太动人了“既然他们会有磨难，为何爹你不帮他们一把”李道峰敲了她头一下道“爹不是留下箴言帮他们了吗”李雅冰这才点头道“这还差不多，不过，怎么老觉得这两个名字有点耳熟啊”李道峰微微一笑道“星辰圣殿圣女林清妍，落枫谷采-花圣手叶辰，哪能不耳熟”李雅冰瞪大了眼睛，惊叫道“居然是他们！那叶辰就是采-花圣手“他怎么看都不像淫贼啊，那林姐姐也不像别人说的心狠手辣的魔道圣女啊”李道峰没好气道“淫贼还要在脸上写着淫贼两个字吗？人不可貌相”李雅冰却反驳道“可是爹你就很表里如一啊，一看就是江湖骗子”李道峰差点被她气死，无语道“你爹是堂堂天机，不是江湖骗子”李雅冰却没理会他，两眼发亮道“淫贼跟魔道圣女的宿	世姻缘，太棒了”李道峰笑了笑道“好了，人也见过了，你在这里等我。
鬼王只觉得屈辱无比，悲愤交加地怒吼道“你到底是谁？本王不会放过你的”李道峰风轻云淡道“本座当代天机李道峰，你想报复，也得有这个机会才行“你之所以这么狂，是因为在这鬼头山之地，阴气无穷无尽，你死不了？那得看谁来”听到	当代天机的名号，鬼王如同当头棒喝一般，呆愣在原地。李道峰冷笑一声道“不信？那试试”他在空中缓缓踏步向前，随着他的踏步，身上金光越发刺目，将鬼王身上都照得滋滋作响。
萧逸枫不知道为什么自己突然就能看懂这本浩然天书。如果说自己现在和之前有什么区别，那就是自己成为了天	命之子，并且自己灵魂有所残缺。到底是因为自己吞服了仙宝还是因为自己神魂残缺的原因。萧逸枫为了验证此事，特地传讯叫了闭关中的初墨过来。初墨虽然不知萧逸枫找她何事，还是出关找了过来。到了以后，苏妙晴不放心两人孤男寡女共处一室，特地跟了进来。
萧逸枫打趣道“你放心，我是真在绕阵法，不是迷路”林清妍哪里不知道他在调侃自己迷路了，恼羞成怒道“你走你的，少废话”萧逸枫哈哈一笑，一路上各种强大的阴兵出现，最弱的都有金丹境。萧逸枫以斩仙开路，切瓜砍菜一样就将这些阴兵给斩杀，比对付同境界修	士还简单。林清妍不由有些羡慕，这把斩仙魔剑不愧是神器里面的顶级神器，当真诡异强大。
姜新宁点头称是，而后迎了两人进屋里面，带两人来到一间卧房里面。她有些不自然笑道“这是我家中空下来的房间，我已经打扫过了，还望不要嫌弃”萧逸枫探头进去一看，只见里面被褥整齐，打扫干净。他连忙笑道“姑娘客气了，我们就冒昧打扰了”姜新宁和杜村长又带着两人熟悉了一下她家，告知	两人沐浴和如厕的地方。
萧逸枫还在想着事情，突然察觉到有人前来，不由有些诧异。林清妍也看向房门，两人都发现来人是姜新宁，不明白她前来所为何事。很快敲门声响起，姜新宁的声音从外面传来“两位已经入睡了吗”萧逸枫打开-房门询问道“还未，新宁姑娘找我们可是有什么事情”姜新宁一咬牙，飞快对两人道“两位应该	是世外高人，还请速速离开村子吧”萧逸枫没想到这姐妹两人竟然都是一个脾气，都是这种舍己为人的人。
轮转鬼王这才知道萧逸枫还不是组织的正式成员，只是临时成员。他强忍怒火，询问道“不知这位道友与圣女是什么关系？为何要加入我宿命“他叫叶辰，乃是我星辰圣殿的天之骄子。对宿命组织颇感兴趣，所以我想举荐加入组织”林清妍笑道。轮转王又问道“不知圣女此行可有命尊或者其他十殿阎王之命”林清妍摇头道“没有”轮转王突然笑着问道“那圣女前来我这可有惊动	正道或者魔道之人”林清妍眼神有些闪烁，回道“正道之人不知，星辰圣殿中有数人知晓”轮转王哈哈一笑道“圣女何必说谎，圣女与星辰圣殿决裂，又岂会告知星辰圣殿之人“轮转王虽然消息灵通，但却不知我乃是假决裂，并非真的离开圣殿”林清妍笑道。
一个个阴兵往村子里面家家户户搜去，提防萧逸枫还藏在村中某处。藤青看着杜村长，嘶哑开口道“此次你做	得很好，三日后的血月之夜，鬼王大人会另娶娇妻”杜村长欣喜若狂，脸上的狂喜根本遮掩不住，连连向藤青道谢。姜新宁闻言无比诧异，难道是那美若天仙的姑娘真的替自己说情了？她心中也满是喜悦，起码不用嫁给那恐怖的鬼王，成为修炼的祭品了。
林清妍感慨地笑道“没想到人生第一次穿上嫁衣，竟是穿给	这么个老鬼看”她伸开双手，笑道“麻烦新宁姑娘帮我穿戴一下”姜新宁给她披上嫁衣，扣上扣子，而这嫁衣居然还会自动收缩，将尺寸调到最为贴合林清妍的样子。这嫁衣的裙摆拖地长达数米，上绣着凤凰祥云等图案，如同孔雀开屏一般。将林清妍那本就傲人的身段被勾勒得淋漓尽致，举手投足间冷艳高贵又雍容华贵。
萧逸枫无语，突然意识到，这个躯体本质上是斩仙的身体。这算是自己亲了林清妍，还是斩仙亲了林清妍？一想到斩仙亲了林清妍，那画面似乎有点香艳啊。不管那么多，反正感觉是自己的，而且斩仙是女子。萧逸枫压下心中异样的感觉，尽情品尝嘴中美味。一吻结束，萧逸枫恋恋不舍地离开那柔软的红唇。他看着还一脸迷茫的林清妍笑道“娘子？清妍”林清妍这才从神游天外回过神来，茫然道“真的是你吗？你怎么会在	这里”她不由怀疑难道这是轮转鬼王变来骗自己的？萧逸枫看着她这茫然可爱的样子，忍不住将她搂在怀中笑道“是我！没想到掀开你盖头的是我吧”林清妍已经醒了过来，感受到他身上熟悉的力量，那是遮天卷轴的力量。
萧逸枫急忙道“清妍，你进去，我不会有事的”林清妍瞪大眼睛凶巴巴道“本小姐还没这么弱不禁风，你还不一定是我的对手呢“我走了，你身上的遮天卷轴还能撑得住吗？如果我没猜错，快要燃尽了吧”她心中冷哼一声，你不是说我是你娘子吗？哪有妻子丢下丈夫自己走的！萧逸枫闻言呆了一下，而后笑道“那好，我们一起走”他对姜家姐妹道“两位姑娘快进去吧”姜新宁知道自己留在这完全没有用，行了一礼道“叶公子，林姑娘，你们小心”她拉着姜新雨飞快走进轮回仙府内，出	现在了轮回神殿之上。
萧逸枫干枯的灵力被血煞剑魔送回来的力量填充回去，他终于不用坐以待毙了。血煞骤天剑！他一挥手，引动了这段时间悄悄凝聚的血煞印记，无穷无尽的血煞剑雨当头落下。红姹和滕青两人被打了个措手不及，这些剑气里面带着相当浓郁的煞气，能对他们造成伤害。但两人乃洞虚境中期的鬼修，这些剑气只能对他们造	成些许干扰，根本伤不到两人“小子，就凭这你也能杀鬼王？恐怕他是被你困在某处了吧”滕青一语道破道。
符雨不多不少下了半刻，逐渐变得稀疏了起来。此刻子时终于到了，一轮完整的血月当空而照，磅礴的鬼气从鬼头山涌起。萧逸枫被这血月一照，只觉得浑身舒坦，有些虚幻的身影也凝实了起来。一道血色月华照在鬼头玉佩上，鬼头玉佩腾空而起，加快了打开通道的速度。随着无数的鬼气汇聚，半空中一道蓝悠	悠的洞口终于打开。
萧逸枫思考片刻道“娘子，你要是不满意，我们回去可以再补办一个隆重的成亲大典的“保证三媒六聘一样不少，八抬大轿，十里红妆，风风光光娶你进门，好不好“不过今天你这一身嫁衣真的很美，就是有点保守了，回头给你弄个低	领开叉的怎么样”m.林清妍气鼓鼓道“你想得美，我才不要，到时候一堆臭男人不是盯着胸口就是大腿”萧逸枫露出计谋得逞的笑容道“清妍你舍得，我都舍不得给别人看，这是我一个人的专属”林清妍这才发现自己被他绕进坑里去了，俏脸绯红，没好气道“谁要嫁给你”萧逸枫凑了个脑袋过去笑道“刚刚你可不是这样说的”林清妍气急败坏，拿出一件长袍扔在萧逸枫身上，气道“换你的衣服，少废话”萧逸枫老老实实将身上的喜服脱下，也穿上了那件灰色的长袍。
